n,α=0.05
3,1.88399
4,2.49495
5,2.85283
6,3.36232
7,3.87166
8,4.45238
9,4.80702
10,5.34375
11,5.82090
12,6.25806
13,6.70103
14,6.88690
15,7.54545
16,7.86777
17,8.48387
18,8.76636
19,9.13953
20,9.69048
21,9.96528
22,10.50725
23,10.89899
24,11.20930
25,11.68919
26,12.06977
27,12.60000
28,13.19048
29,13.28261
30,13.85870
31,14.45098
32,14.61194
33,14.76712
34,15.58929
35,15.95000
36,16.49020
37,16.64296
38,16.91489
39,17.50000
40,17.92405
41,18.33333
42,18.85507
43,18.96386
44,19.72727
45,19.91935
46,20.94564
47,20.95465
48,21.21212
49,21.77358
50,21.14484
51,22.55102
52,22.61818
53,23.30000
54,23.62791
55,23.90942
56,24.60714
57,24.73214
58,25.16667
59,25.17439
60,26.17447
61,26.50000
62,26.85185
63,27.20388
64,27.71111
65,28.12500
66,28.60000
67,28.88636
68,29.07143
69,29.70923
70,30.09375
71,30.44444
72,31.04103
73,31.42857
74,31.63125
75,31.90909
76,32.44000
77,32.48337
78,33.25000
79,33.67442
80,34.31054
81,34.07447
82,34.73810
83,34.95918
84,35.88889
85,36.14286
86,36.96831
87,36.70455
88,37.34375
89,37.63636
90,37.85714
91,38.27586
92,38.87500
93,39.56000
94,39.63636
95,39.89189
96,40.00000
97,40.67391
98,40.97959
99,41.63636
100,42.08000
